,Baso,Ccr7_DC,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
2310016D03Rik,0.709620718736609,0.34343639613791355,0.5565650165675332,0.6600791471799283,0.8412858478634697,0.06862656802214655,0.9101726644296045,0.1069728442336574,0.4699432630345892
2310016D23Rik,0.856572453699139,0.34343639613791355,1.0,0.6600791471799283,0.8988087183074848,0.1453317725156948,0.4827667291706521,0.1777936646000288,0.30134888736347104
2310031A07Rik,0.6647348885210917,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.9114183615936073,0.0796025333193786,0.7482266019551285,0.12443285793651203,0.6749144999271871
2310034C09Rik,0.957244905761969,0.34343639613791355,0.5565650165675332,0.13814824935619238,0.32181852462377203,0.12076569619470971,0.9217360578160501,0.6333515795837699,0.7982609319782434
2410006H16Rik,0.38859466203504234,0.34343639613791355,1.0,0.35584114604163897,0.36365638360028074,0.15355909714393629,0.07628853544390815,0.013125511389909741,0.2652949736989446
2410017I17Rik,0.9578740823800445,0.34343639613791355,1.0,0.35584114604163897,0.6021748222926382,0.5412972273334776,0.7352030614902128,0.20365800478121943,0.17515916727683606
2610028E06Rik,0.5474481783557243,0.34343639613791355,1.0,0.35584114604163897,0.730817836706195,0.24314403615247152,0.3548193956609844,0.010278003658302216,0.4732245871275188
2610035D17Rik,0.8133734946928316,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.6454129373111908,0.14369275719869198,0.4853205397734909,0.11719713913808254,0.6366692191593266
2610037D02Rik,0.5702694425270665,0.34343639613791355,1.0,0.35584114604163897,0.7924572440385119,0.20926918628042313,0.9706171578824971,0.04850744575522098,0.9398992271041731
2610301B20Rik,0.9999999999999987,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.41912455266523674,0.11368255391333705,0.86717785322478,0.5257399855107308,0.09611584639939112
2610307P16Rik,0.9999999999999989,0.34343639613791355,1.0,0.35584114604163897,0.629705043087083,0.1369470049857845,0.4889393926611493,0.20699042021188474,0.486165657005004
2610528A11Rik,0.19451174988472283,0.34343639613791355,0.6619521150893831,0.13814824935619238,0.9999999999999988,0.007389277493978544,0.6335151051271193,0.17291245475831685,0.2864758101324233
2700068H02Rik,0.9999999999999987,0.34343639613791355,1.0,0.35584114604163897,0.46786936251164657,0.0661611583661216,0.9531686516008434,0.24165812777606946,0.9011384854015387
2810029C07Rik,0.9556239675067772,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.8760371613151153,0.11368255391333729,0.44121567625175884,0.04729418641791968,0.1099528383200937
2810403D21Rik,0.6883516538518295,0.34343639613791355,1.0,0.35584114604163897,0.7898240168681803,0.14309483725337982,1.0,0.3219712576260396,0.680180617612343
2810408A11Rik,0.7229764241389004,0.34343639613791355,0.2390337967349938,0.35584114604163897,0.905598989947862,0.1306464680218121,0.7215748400060833,0.07050498699531847,0.38051671638708684
2900089D17Rik,0.7425289699851725,0.34343639613791355,1.0,1.0,0.6623074784504561,0.04861906315366081,0.671331997784315,0.032480371383532755,0.1997087406379786
3110079O15Rik,0.6604655461733706,0.34343639613791355,0.12746680324446447,0.13814824935619238,0.65950563284921,0.6613462563010097,0.44094548127337485,0.02030058527117906,0.03573029599117085
3830432H09Rik,0.7050174940962239,0.34343639613791355,1.0,0.35584114604163897,0.8595386774667158,0.05147719594282934,1.0,0.06756386671378004,0.4677392370570206
4631405J19Rik,0.6682290883565459,0.34343639613791355,1.0,0.13814824935619238,0.6871875399498393,0.1372168261239263,0.7818793629385485,0.020120537264587977,0.776389195586113
4831440E17Rik,0.5729211442869551,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.9100120329251737,0.19095540187559046,0.6025814775544793,0.3729246424723277,0.4124530343119156
4930417H01Rik,0.7004130748095674,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.9551645558495951,0.17321991404355658,0.7758701853757304,0.11127971652792036,0.82271616101827
4930426D05Rik,0.9026639434419467,0.34343639613791355,1.0,0.35584114604163897,0.7568087475413494,0.2798411634028639,0.35688859603448897,0.38906729526752115,0.38242224195715624
4930431P03Rik,0.8554110516230965,0.34343639613791355,1.0,0.35584114604163897,0.913992540694745,0.31938485888354534,0.9778320534691777,0.059837138985051476,0.2680108779598399
4930452B06Rik,0.7837059855265273,0.34343639613791355,1.0,0.35584114604163897,0.3986208706661861,0.019026483941264466,0.7132376910624438,0.09507318893464305,0.8839732968001482
4930458D05Rik,1.0,0.34343639613791355,1.0,0.35584114604163897,0.5899222562976669,0.14665528767487324,0.9021947137636968,0.04771135883521224,0.20463175035342923
4930503B20Rik,0.36034865987410214,0.34343639613791355,1.0,0.35584114604163897,0.13996804230413212,0.19612873611196302,0.5610790037366895,0.3037831177480076,0.18959130123340265
4930517L18Rik,0.8161373916745177,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.3812995108554301,0.09654309957007522,0.8098496432566848,0.016932456031485042,0.19604965721085993
4930519F16Rik,0.5804756133274787,0.34343639613791355,0.29003341600144816,0.35584114604163897,0.751803826837568,0.16207654983959932,0.6359851089466332,0.1227143504624615,0.47030958136918766
4930526F13Rik,0.2959650515722465,0.34343639613791355,0.34343639613791355,0.6600791471799283,0.9176023121419714,0.10497663817748033,0.9293291314119596,0.08950747415682343,0.45484503672063503
4930563E22Rik,0.7166902588213462,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.7023759595086907,0.11288276483532507,0.6749606299173898,0.11966157107070267,0.4190438023533689
