gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
COQ8B,0.03536521113892648,0.0019454751358956815,0.03536521113892648,2.7109743153163204,True,False,True,False,True,False,False,False,sig.pos
DNPEP,-0.11498719621989277,3.0390148431733224e-12,-0.11498719621989277,11.517267178731336,True,False,False,True,False,True,False,False,sig.neg
SDC4,0.14562875372388556,5.318065365050484e-16,0.14562875372388556,15.274246329000263,True,False,True,False,True,False,False,False,sig.pos
PIGT,-0.04594441819838784,3.721191469325211e-06,-0.04594441819838784,5.429317983315724,True,False,False,True,False,True,False,False,sig.neg
NCOA5,-0.12875870833576097,2.0328397415109948e-13,-0.12875870833576097,12.691896857525665,True,False,False,True,False,True,False,False,sig.neg
PSG8,0.12168368520147832,4.182373578035622e-12,0.12168368520147832,11.378577177727509,True,False,True,False,True,False,False,False,sig.pos
F13A1,0.7107008962445882,3.3334210666180186e-72,0.7107008962445882,71.47710982424566,True,False,True,False,True,False,False,False,sig.pos
PEX6,0.19064165912396472,1.5059455718632824e-27,0.19064165912396472,26.822190724195472,True,False,True,False,True,False,False,False,sig.pos
NQO2,0.10890982255575078,5.94321549887617e-13,0.10890982255575078,12.225978522093131,True,False,True,False,True,False,False,False,sig.pos
CDKN1A,0.45894093624501364,6.7169851706184555e-53,0.45894093624501364,52.17282561051115,True,False,True,False,True,False,False,False,sig.pos
AHNAK,-0.11555791543762335,3.686606742257251e-13,-0.11555791543762335,12.43337318698747,True,False,False,True,False,True,False,False,sig.neg
MT2A,-0.004826784926091345,0.09063795689414784,-0.004826784926091345,1.0426898926371355,False,True,False,True,False,False,False,True,insig.neg
HROB,0.2486553714829422,1.711191052749567e-30,0.2486553714829422,29.766701499212388,True,False,True,False,True,False,False,False,sig.pos
SLC25A35,-0.02209653420891066,0.017345989459117462,-0.02209653420891066,1.7608009218594833,True,False,False,True,False,True,False,False,sig.neg
SLC25A19,-0.14353120855636867,1.3772232180042089e-14,-0.14353120855636867,13.86099566432482,True,False,False,True,False,True,False,False,sig.neg
NT5C,-0.01740237861081557,0.0011515136728260835,-0.01740237861081557,2.938730900949714,True,False,False,True,False,True,False,False,sig.neg
MIR9-1HG,0.0030460636912420336,0.10146126267015845,0.0030460636912420336,0.993699737255456,False,True,True,False,False,False,True,False,insig.pos
MBOAT7,-0.15727911822281615,7.512233280275751e-16,-0.15727911822281615,15.124230934218591,True,False,False,True,False,True,False,False,sig.neg
OPRL1,-0.08704431423506957,1.1162547919291705e-07,-0.08704431423506957,6.952236663732576,True,False,False,True,False,True,False,False,sig.neg
SLC2A4RG,-0.06813461560723769,1.7597126970952637e-05,-0.06813461560723769,4.7545582323286615,True,False,False,True,False,True,False,False,sig.neg
CHCHD5,-0.020656409940929127,0.0009607646282502223,-0.020656409940929127,3.0173829944046107,True,False,False,True,False,True,False,False,sig.neg
PSPN,0.004356206415321851,0.24450675984546325,0.004356206415321851,0.6117091294933241,False,True,True,False,False,False,True,False,insig.pos
SH2D3A,0.046257582403560926,0.004045356251952457,0.046257582403560926,2.393043226475854,True,False,True,False,True,False,False,False,sig.pos
TRIP10,0.08611058630282803,4.6370831801424e-14,0.08611058630282803,13.33375511364639,True,False,True,False,True,False,False,False,sig.pos
TNFSF14,-0.10277017032839537,5.937863870218729e-09,-0.10277017032839537,8.226369763137837,True,False,False,True,False,True,False,False,sig.neg
RTN2,0.005895666930932821,0.14409443195698407,0.005895666930932821,0.8413528007063246,False,True,True,False,False,False,True,False,insig.pos
STK35,-0.10981491255136001,4.2944855861094186e-09,-0.10981491255136001,8.367088850574053,True,False,False,True,False,True,False,False,sig.neg
OVOL2,0.08679674904474446,4.125597298873436e-07,0.08679674904474446,6.384513165944163,True,False,True,False,True,False,False,False,sig.pos
PCSK2,0.06560231038597433,1.9833202198985424e-05,0.06560231038597433,4.70260716047575,True,False,True,False,True,False,False,False,sig.pos
FAM110A,0.23127473273449978,1.213288879190881e-28,0.23127473273449978,27.916035783056138,True,False,True,False,True,False,False,False,sig.pos
NCLN,-0.18531054006601821,8.858017865092372e-20,-0.18531054006601821,19.052663448153403,True,False,False,True,False,True,False,False,sig.neg
ARMCX5,0.3875040537240707,6.900877409361177e-47,0.3875040537240707,46.16109568754993,True,False,True,False,True,False,False,False,sig.pos
MMP24,0.013043603097110801,0.18653341115884606,0.013043603097110801,0.7292433677033909,False,True,True,False,False,False,True,False,insig.pos
ROMO1,-0.05652330765459414,3.855902957505037e-06,-0.05652330765459414,5.413873904631863,True,False,False,True,False,True,False,False,sig.neg
