gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
Chga,0.1285929570844939,0.0008347273538800568,0.1285929570844939,3.078455354505804,True,False,True,False,True,False,False,False,sig.pos
Chil1,0.2803102044712582,3.021794970108036e-08,0.2803102044712582,7.51973500603652,True,False,True,False,True,False,False,False,sig.pos
Chil3,0.4990271729362143,5.076379764494782e-20,0.4990271729362143,19.294445895746925,True,False,True,False,True,False,False,False,sig.pos
Chil5,0.13955626878541902,0.0029052243529296812,0.13955626878541902,2.53682032403885,True,False,True,False,True,False,False,False,sig.pos
Chit1,0.173916069701636,0.0011855030697205107,0.173916069701636,2.9260973171299494,True,False,True,False,True,False,False,False,sig.pos
Chl1,0.08875286445716518,0.3321401203198682,0.08875286445716518,0.4786786613449004,False,True,True,False,False,False,True,False,insig.pos
Chp1,0.2534609569476042,3.3983682901534494e-08,0.2534609569476042,7.468729557275636,True,False,True,False,True,False,False,False,sig.pos
Chrm1,0.12201875676439891,0.018039009038714266,0.12201875676439891,1.7437873238250625,True,False,True,False,True,False,False,False,sig.pos
Chrna1,0.09749922736129413,0.11769105731151126,0.09749922736129413,0.9292565355237103,False,True,True,False,False,False,True,False,insig.pos
Chrnb3,0.12870729081991206,0.006759671515903979,0.12870729081991206,2.1700744079483743,True,False,True,False,True,False,False,False,sig.pos
Chrnd,0.1464522503756513,0.011693281266194932,0.1464522503756513,1.9320636038216605,True,False,True,False,True,False,False,False,sig.pos
Chst15,0.14748664959918723,0.0028744878171907016,0.14748664959918723,2.541439527664402,True,False,True,False,True,False,False,False,sig.pos
Cib3,0.13099611771862388,0.012817064393995346,0.13099611771862388,1.8922114337470415,True,False,True,False,True,False,False,False,sig.pos
Cib4,0.14096931233439416,0.005482126326098898,0.14096931233439416,2.2610509611176517,True,False,True,False,True,False,False,False,sig.pos
Ciita,0.019887615599545716,0.3521564017060064,0.019887615599545716,0.4532644123395957,False,True,True,False,False,False,True,False,insig.pos
Cish,-0.09915009531247812,0.031514079968069805,-0.09915009531247812,1.5014953672825486,True,False,False,True,False,True,False,False,sig.neg
Ckap4,0.4103502257503564,2.774144903876676e-15,0.4103502257503564,14.556870857858819,True,False,True,False,True,False,False,False,sig.pos
Clca3a1,0.1087764307404844,0.011369326608768828,0.1087764307404844,1.944265257278529,True,False,True,False,True,False,False,False,sig.pos
Cldn1,0.11913363181161794,0.023787993586712047,0.11913363181161794,1.623642187259356,True,False,True,False,True,False,False,False,sig.pos
Cldn11,0.08204566205119454,0.06917331011644899,0.08204566205119454,1.1600614417434363,False,True,True,False,False,False,True,False,insig.pos
Clec10a,-0.02312955464567472,0.08971324605239057,-0.02312955464567472,1.0471434291660455,False,True,False,True,False,False,False,True,insig.neg
Clec1b,0.013338489169216927,1.8990196385025175e-07,0.013338489169216927,6.721470544031189,True,False,True,False,True,False,False,False,sig.pos
Clec2d,0.09891685228585798,0.04194431665613468,0.09891685228585798,1.3773268766014846,True,False,True,False,True,False,False,False,sig.pos
Clec2h,0.14429930490681012,0.006276048592088294,0.14429930490681012,2.202313702562138,True,False,True,False,True,False,False,False,sig.pos
Clec4a1,-0.198435588692064,0.0001626918525743747,-0.198435588692064,3.788634195499456,True,False,False,True,False,True,False,False,sig.neg
Clec4a2,0.22938506307702294,9.348064425058261e-06,0.22938506307702294,5.029278303195634,True,False,True,False,True,False,False,False,sig.pos
Clec4a3,-0.0521257455420859,0.006787194753143336,-0.0521257455420859,2.1683096888957603,True,False,False,True,False,True,False,False,sig.neg
Clec4b2,0.2973714536805852,3.977609529668709e-09,0.2973714536805852,8.400377852542276,True,False,True,False,True,False,False,False,sig.pos
Clec4d,-0.08872142022252286,0.009241529934719949,-0.08872142022252286,2.0342561254028015,True,False,False,True,False,True,False,False,sig.neg
Clec4e,-0.1292389622674486,0.0223523456802653,-0.1292389622674486,1.6506768947897155,True,False,False,True,False,True,False,False,sig.neg
Clec4f,0.11146601734549132,0.01723970154693168,0.11146601734549132,1.7634702569360525,True,False,True,False,True,False,False,False,sig.pos
Clec4n,-0.13277822233658815,5.0657038851123436e-05,-0.13277822233658815,4.295360200416043,True,False,False,True,False,True,False,False,sig.neg
Clec7a,-0.01845441498569659,0.006341861031351387,-0.01845441498569659,2.197783278861832,True,False,False,True,False,True,False,False,sig.neg
Clic4,-0.054343819648017114,0.06619345828671883,-0.054343819648017114,1.1791849285415854,False,True,False,True,False,False,False,True,insig.neg
Clic5,0.16249234291792397,0.002206319974827258,0.16249234291792397,2.656331503126717,True,False,True,False,True,False,False,False,sig.pos
Clip3,0.11503676059643747,0.016074454730809533,0.11503676059643747,1.7938637500626489,True,False,True,False,True,False,False,False,sig.pos
Clip4,0.10246509400309914,0.027553405578551633,0.10246509400309914,1.5598247150493716,True,False,True,False,True,False,False,False,sig.pos
Clnk,0.026531601480154023,0.26104036976220535,0.026531601480154023,0.5832923240440718,False,True,True,False,False,False,True,False,insig.pos
Cma1,-0.4025283037188735,2.6095424606824544e-12,-0.4025283037188735,11.583435632209532,True,False,False,True,False,True,False,False,sig.neg
Cmpk2,0.19180687795974755,0.0005309897522541298,0.19180687795974755,3.2749138604296975,True,False,True,False,True,False,False,False,sig.pos
Cmtm8,0.12691675002168462,0.01211691386034473,0.12691675002168462,1.9166079795172926,True,False,True,False,True,False,False,False,sig.pos
Cmya5,0.10652277727785783,0.010511705580980064,0.10652277727785783,1.9783268116300297,True,False,True,False,True,False,False,False,sig.pos
Cndp2,-0.012712456924720728,0.016074495909375687,-0.012712456924720728,1.7938626375147306,True,False,False,True,False,True,False,False,sig.neg
Cnfn,0.1227634754324483,0.01685199948908934,0.1227634754324483,1.7733485627119168,True,False,True,False,True,False,False,False,sig.pos
Cnn2,0.3751430963997958,6.163924615143326e-15,0.3751430963997958,14.210142681346785,True,False,True,False,True,False,False,False,sig.pos
Cnn3,0.039012685915165324,0.08628467166228478,0.039012685915165324,1.0640663491718751,False,True,True,False,False,False,True,False,insig.pos
Cnrip1,0.05147767893207646,0.1028437976372807,0.05147767893207646,0.9878218948601397,False,True,True,False,False,False,True,False,insig.pos
Cntn4,0.0917948917678916,0.053826363571757296,0.0917948917678916,1.2690049594758848,False,True,True,False,False,False,True,False,insig.pos
Cobl,-0.06606697408795012,0.04202100940334015,-0.06606697408795012,1.3765335194446933,True,False,False,True,False,True,False,False,sig.neg
Coch,0.1018712851229947,0.0547182293628886,0.1018712851229947,1.2618679644745,False,True,True,False,False,False,True,False,insig.pos
Col16a1,0.09044299352287205,0.13366672015760586,0.09044299352287205,0.8739767083028586,False,True,True,False,False,False,True,False,insig.pos
Col18a1,-0.0005417500676046377,0.01889897239709784,-0.0005417500676046377,1.723561809287218,True,False,False,True,False,True,False,False,sig.neg
Col1a1,0.15407645889704377,0.0021669642921941282,0.15407645889704377,2.6641482450395824,True,False,True,False,True,False,False,False,sig.pos
Col1a2,0.10567098517226389,0.10898936131499513,0.10567098517226389,0.962615892405108,False,True,True,False,False,False,True,False,insig.pos
Col3a1,0.14860684633032684,0.0018143173325263823,0.14860684633032684,2.741286750510695,True,False,True,False,True,False,False,False,sig.pos
Col4a1,0.0901983785515475,0.052697939773822464,0.0901983785515475,1.2782063632001701,False,True,True,False,False,False,True,False,insig.pos
Col5a3,0.12897138871246586,0.028952069153023764,0.12897138871246586,1.5383203925711488,True,False,True,False,True,False,False,False,sig.pos
Col9a2,0.11784165612954225,0.00538980761512895,0.11784165612954225,2.268426736330708,True,False,True,False,True,False,False,False,sig.pos
Coro2b,0.10310613347056577,0.036223888866521246,0.10310613347056577,1.441004927224336,True,False,True,False,True,False,False,False,sig.pos
Cort,0.11198725989539855,0.02981294886094423,0.11198725989539855,1.5255950648698575,True,False,True,False,True,False,False,False,sig.pos
Cox6a2,0.034910825665484105,0.13120707574703191,0.034910825665484105,0.8820427436567728,False,True,True,False,False,False,True,False,insig.pos
Cp,0.01710891305020824,0.4851786144503899,0.01710891305020824,0.31409835007849357,False,True,True,False,False,False,True,False,insig.pos
Cpa3,-0.2518329932622115,2.4536045194220726e-09,-0.2518329932622115,8.610195437075188,True,False,False,True,False,True,False,False,sig.neg
Cpb1,0.07047449418348514,0.3140191838700479,0.07047449418348514,0.5030438194605168,False,True,True,False,False,False,True,False,insig.pos
Cpe,0.1399239675940394,0.005091880501933702,0.1399239675940394,2.2931217970764655,True,False,True,False,True,False,False,False,sig.pos
Cpeb1,0.10744903955046013,0.038466115435780227,0.10744903955046013,1.4149216694245825,True,False,True,False,True,False,False,False,sig.pos
Cpne3,0.2947360996525393,2.908196534993413e-10,0.2947360996525393,9.536376247338799,True,False,True,False,True,False,False,False,sig.pos
Cpne5,0.0851141183470578,0.17868603602397048,0.0851141183470578,0.7479093854612981,False,True,True,False,False,False,True,False,insig.pos
Cpz,0.10168203032209666,0.036740975243868795,0.10168203032209666,1.434849320065881,True,False,True,False,True,False,False,False,sig.pos
